BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC2,SECNUM21,SSNUM21,SECSSNUM21,DT,CC,FR,SEC,SS,NUTS3_13,NUTS2_13,NUTS1_13,SUBSECCAO,N_EDIFICIO,N_EDIFIC_1,N_EDIFIC_2,N_EDIFIC_3,N_EDIFIC_4,N_EDIFIC_5,N_EDIFIC_6,N_EDIFIC_7,N_EDIFIC_8,N_EDIFIC_9,N_EDIFI_10,N_EDIFI_11,N_ALOJAMEN,N_ALOJAM_1,N_ALOJAM_2,N_ALOJAM_3,N_RHABITUA,N_RHABIT_1,N_RHABIT_2,N_RHABIT_3,N_AGREGADO,N_ADP_1_OU,N_ADP_3_OU,N_NUCLEOS_,N_NUCLEOS1,N_INDIVIDU,N_INDIVI_1,N_INDIVI_2,N_INDIVI_3,N_INDIVI_4,N_INDIVI_5,N_INDIVI_6,N_IND_ENSI,N_IND_EN_1,N_IND_EN_2,N_IND_EMPR,N_IND_REFO,svf_stdev,svf_min,svf_max,svf_varian,OBJECTID_1,BGRI2021_1,FREQUENCY,MEAN_altura,STD_altura,Shape_Length,Shape_Area,MBV,HVC,svf_mean
11151602403,11,1115,111516,111516024,024,03,02403,11,15,16,024,03,170,17,1,11151602403,5,0,5,5,0,5,0,0,5,0,0,0,91,91,77,14,26,0,68,4,77,37,40,64,33,208,104,104,33,26,111,38,88,67,32,95,34,0.241751531174896,-0.403479337692261,0.990885674953461,0.058443802825407,563,11151602403,5,19.866000000000003,7.744406368470085,527.505658929959509,15663.984951943770284,5527.648761151913277,0.389832194124136,0.591116730334415
11151402205,11,1115,111514,111514022,022,05,02205,11,15,14,022,05,170,17,1,11151402205,5,0,5,3,0,5,0,0,5,0,0,3,98,98,76,22,62,0,56,13,76,51,25,53,20,174,72,102,19,16,106,33,50,49,54,81,33,0.224851476294872,-0.313004910945892,0.997816085815430,0.050558186391983,323,11151402205,5,31.262000000000008,0.375059995200768,989.825723511682440,44550.909352955764916,6233.910320502344803,0.011997312878279,0.775631018371649
11151400408,11,1115,111514,111514004,004,08,00408,11,15,14,004,08,170,17,1,11151400408,25,9,16,25,6,19,1,6,9,9,0,8,112,112,88,24,14,52,55,27,88,46,42,69,40,232,106,126,33,32,130,37,108,63,35,114,34,0.255992186585123,-0.289029359817505,0.998738288879395,0.065531999592633,235,11151400408,32,9.511562500000002,3.495679461734662,704.323399614680056,15037.173497425705136,1471.564778475554249,0.367518949881753,0.597319462292917
11151401801,11,1115,111514,111514018,018,01,01801,11,15,14,018,01,170,17,1,11151401801,6,0,6,4,0,6,0,0,6,0,0,0,196,196,168,28,110,40,138,19,168,109,59,125,48,381,179,202,55,23,195,108,114,79,144,151,108,0.268523813553662,-0.354535281658173,0.998525202274323,0.072105038445402,300,11151401801,6,36.979999999999997,6.855925903916990,390.375204395326705,7352.554220736438765,12180.401368723492851,0.185395508488832,0.441234856049208
11151402005,11,1115,111514,111514020,020,05,02005,11,15,14,020,05,170,17,1,11151402005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224362939482812,-0.247106313705444,0.996170461177826,0.050338728613368,314,11151402005,4,19.277499999999996,16.566955815719439,390.466129549635241,8878.137583208212163,6015.676020761404288,0.859393376512486,0.588530929532964
11151501001,11,1115,111515,111515010,010,01,01001,11,15,15,010,01,170,17,1,11151501001,14,11,3,14,11,3,11,3,0,0,0,10,40,40,26,14,2,0,19,7,26,19,7,19,7,57,25,32,6,4,32,15,24,16,5,26,16,0.237718911326683,-0.257667869329453,0.997081995010376,0.056510280802343,375,11151501001,7,9.528571428571427,6.102547087272733,417.595993774586532,7857.208302634578104,1360.704372675430932,0.640447220553360,0.650823969836056
11151702205,11,1115,111517,111517022,022,05,02205,11,15,17,022,05,170,17,1,11151702205,7,0,7,6,0,7,0,7,0,0,0,0,55,55,46,9,0,0,32,10,46,27,19,35,22,123,56,67,21,22,54,26,56,29,17,49,23,0.298330319544991,-0.286950141191483,0.992571473121643,0.089000979559817,807,11151702205,7,15.462857142857148,0.951852829760889,346.404727508242331,5358.339389435414887,2706.124594005704239,0.061557370734721,0.536344627541182
11151500205,11,1115,111515,111515002,002,05,00205,11,15,15,002,05,170,17,1,11151500205,6,0,6,6,0,6,0,6,0,0,0,3,83,83,72,11,19,0,47,21,72,56,16,43,16,144,66,78,17,11,52,64,79,34,17,39,64,0.253588293164760,-0.334818780422211,0.993627011775970,0.064307022430216,330,11151500205,6,21.076666666666668,5.408810097116246,269.290892584886024,3694.583565368227482,3983.044323923869797,0.256625498835185,0.544049984877627
11151500701,11,1115,111515,111515007,007,01,00701,11,15,15,007,01,170,17,1,11151500701,6,0,6,6,0,6,0,6,0,0,0,2,65,65,55,10,1,1,36,17,55,46,9,37,10,106,45,61,9,7,41,49,60,19,18,33,46,0.243722097604341,-0.326077848672867,0.994733095169067,0.059400460860660,353,11151500701,6,14.971666666666673,1.210048208406038,302.113127180741401,4471.592000190789804,2932.999308774734800,0.080822545368320,0.514482652055758
11151501601,11,1115,111515,111515016,016,01,01601,11,15,15,016,01,170,17,1,11151501601,16,0,16,16,1,15,0,16,0,0,0,13,128,128,105,23,5,9,52,46,105,76,29,63,24,212,96,116,20,16,127,49,101,57,30,94,54,0.274823767067390,-0.313784062862396,0.998525917530060,0.075528102945111,411,11151501601,16,14.269375000000000,1.240454049934943,360.905433681571878,7642.988666046618164,2370.660809030766814,0.086931211068105,0.543568826334557
